Name,Link,Nationality,Birth,Demise
Anonymous Italian 18th Century,https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=8333,Unknown,Unknown,Unknown
Anonymous Italian 19th Century,https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=8336,Unknown,Unknown,Unknown
Anonymous Italian 20th Century,https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=8339,Unknown,Unknown,Unknown
Anonymous Italian or French,https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=17493,Unknown,Unknown,Unknown
Anonymous Japanese 13th Century,https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=2845,Unknown,Unknown,Unknown
Anonymous Japanese 19th Century,https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=5653,Unknown,Unknown,Unknown
Anonymous Japanese Edo Period,https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=5655,Unknown,Unknown,Unknown
Anonymous Kashan 16th Century,https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=2847,Unknown,Unknown,Unknown
Anonymous Korean Koryo Dynasty,https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=5654,Unknown,Unknown,Unknown
Anonymous Lombard 15th Century,https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=8309,Unknown,Unknown,Unknown
Anonymous Lombard 16th Century,https://web.archive.org/web/20121010213036/http://www.nga.gov/cgi-bin/tsearch?artistid=8324,Unknown,Unknown,Unknown
Anonymous Mantuan 15th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8305,Unknown,Unknown,Unknown
Anonymous Mantuan 16th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8315,Unknown,Unknown,Unknown
Anonymous Mantuan 19th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8337,Unknown,Unknown,Unknown
Anonymous Mexican 18th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=6612,Unknown,Unknown,Unknown
Anonymous Milanese 15th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8297,Unknown,Unknown,Unknown
Anonymous Milanese 16th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8316,Unknown,Unknown,Unknown
Anonymous Mosan 12th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=5514,Unknown,Unknown,Unknown
Anonymous Mosan 13th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=5515,Unknown,Unknown,Unknown
Anonymous Nancy 16th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=6694,Unknown,Unknown,Unknown
Anonymous Neapolitan 15th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8298,Unknown,Unknown,Unknown
Anonymous Neapolitan 16th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8317,Unknown,Unknown,Unknown
Anonymous Neapolitan 19th/20th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=6924,Unknown,Unknown,Unknown
Anonymous Netherlandish 14th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8340,Unknown,Unknown,Unknown
Anonymous Netherlandish 15th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8341,Unknown,Unknown,Unknown
Anonymous Netherlandish 16th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8346,Unknown,Unknown,Unknown
Anonymous Netherlandish 17th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8350,Unknown,Unknown,Unknown
Anonymous Netherlandish 18th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8354,Unknown,Unknown,Unknown
Anonymous Netherlandish 20th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8365,Unknown,Unknown,Unknown
Anonymous North Italian 14th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8292,Unknown,Unknown,Unknown
Anonymous North Italian 15th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8294,Unknown,Unknown,Unknown
Anonymous North Italian 16th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8323,Unknown,Unknown,Unknown
Anonymous North Italian 17th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8331,Unknown,Unknown,Unknown
Anonymous North Netherlandish 15th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8344,Unknown,Unknown,Unknown
Anonymous Norwegian 19th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=14213,Unknown,Unknown,Unknown
Anonymous Nuremberg 15th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=9815,Unknown,Unknown,Unknown
Anonymous Paduan 15th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8301,Unknown,Unknown,Unknown
Anonymous Paduan 16th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8318,Unknown,Unknown,Unknown
Anonymous Parisian 15th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=6693,Unknown,Unknown,Unknown
Anonymous Pesarese 15th Century,https://web.archive.org/web/20121010213110/http://www.nga.gov/cgi-bin/tsearch?artistid=8304,Unknown,Unknown,Unknown
Anonymous Pisan 14th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=8291,Unknown,Unknown,Unknown
Anonymous Polish 15th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=2848,Unknown,Unknown,Unknown
Anonymous Portuguese 15th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=8367,Unknown,Unknown,Unknown
Anonymous Rhenish 12th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=6920,Unknown,Unknown,Unknown
Anonymous Rhenish 15th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=8368,Unknown,Unknown,Unknown
Anonymous Roman 15th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=8296,Unknown,Unknown,Unknown
Anonymous Roman 16th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=8313,Unknown,Unknown,Unknown
Anonymous Roman 17th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=8332,Unknown,Unknown,Unknown
Anonymous Roman 18th/19th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=6922,Unknown,Unknown,Unknown
Anonymous Roman 18th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=8335,Unknown,Unknown,Unknown
Anonymous Roman 1st Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=6917,Unknown,Unknown,Unknown
Anonymous Roman 1st Century B.C./1st Century A.D.,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=6696,Unknown,Unknown,Unknown
Anonymous Roman 2nd Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=6918,Unknown,Unknown,Unknown
Anonymous Roman 2nd Century B.C./1st Century A.D.,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=10734,Unknown,Unknown,Unknown
Anonymous Roman 3rd Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=2331,Unknown,Unknown,Unknown
Anonymous Russian 16th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=2260,Unknown,Unknown,Unknown
Anonymous Russian 19th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=5556,Unknown,Unknown,Unknown
Anonymous Russian 20th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=2849,Unknown,Unknown,Unknown
Anonymous Savoy 16th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=8319,Unknown,Unknown,Unknown
Anonymous Scandinavian 13th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=6919,Unknown,Unknown,Unknown
Anonymous Sienese 16th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=8328,Unknown,Unknown,Unknown
Anonymous South German 16th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=2840,Unknown,Unknown,Unknown
Anonymous South German 17th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=6698,Unknown,Unknown,Unknown
Anonymous South Netherlandish 15th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=8345,Unknown,Unknown,Unknown
Anonymous South Netherlandish 17th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=8353,Unknown,Unknown,Unknown
Anonymous Spanish 12th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=4682,Unknown,Unknown,Unknown
Anonymous Spanish 14th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=5483,Unknown,Unknown,Unknown
Anonymous Spanish 15th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=2850,Unknown,Unknown,Unknown
Anonymous Spanish 16th Century,https://web.archive.org/web/20121010213146/http://www.nga.gov/cgi-bin/tsearch?artistid=5506,Unknown,Unknown,Unknown
Anonymous Spanish 17th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=14215,Unknown,Unknown,Unknown
Anonymous Swabian 15th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=9814,Unknown,Unknown,Unknown
Anonymous Swiss 16th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=5609,Unknown,Unknown,Unknown
Anonymous Swiss 17th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=25801,Unknown,Unknown,Unknown
Anonymous Swiss 19th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=5610,Unknown,Unknown,Unknown
Anonymous Turin 16th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=8320,Unknown,Unknown,Unknown
Anonymous Turkish 18th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=2334,Unknown,Unknown,Unknown
Anonymous Tuscan 14th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=6916,Unknown,Unknown,Unknown
Anonymous Tuscan 15th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=8308,Unknown,Unknown,Unknown
Anonymous Tuscan 16th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=8327,Unknown,Unknown,Unknown
Anonymous Tyrolean 15th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=8369,Unknown,Unknown,Unknown
Anonymous Tyrolean 16th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=8370,Unknown,Unknown,Unknown
Anonymous Unknown 16th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=2851,Unknown,Unknown,Unknown
Anonymous Unknown 18th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=5554,Unknown,Unknown,Unknown
Anonymous Unknown 19th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=2309,Unknown,Unknown,Unknown
Anonymous Unknown 20th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=2852,Unknown,Unknown,Unknown
Anonymous Urbino 16th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=6949,Unknown,Unknown,Unknown
Anonymous Venetian 14th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=8289,Unknown,Unknown,Unknown
Anonymous Venetian 15th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=8299,Unknown,Unknown,Unknown
Anonymous Venetian 16th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=8312,Unknown,Unknown,Unknown
Anonymous Venetian 17th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=8330,Unknown,Unknown,Unknown
Anonymous Veneto-Islamic 16th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=8325,Unknown,Unknown,Unknown
Anonymous Verona 14th Century,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=8288,Unknown,Unknown,Unknown
"Anquetin, Louis",https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=17720,French,1861,1932
"Ansaldo, Giovanni Andrea",https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=36739,Italian,1584,1638
Ansano di Pietro di Mencio,https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=1857,Italian,1405,1481
"Ansdell, Richard",https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=6395,British,1815,1885
"Anse, Luggert van",https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=10735,Netherlandish,active 1709,1716
"Anselin, Jean-Louis",https://web.archive.org/web/20121010213113/http://www.nga.gov/cgi-bin/tsearch?artistid=2908,French,1754,1823
"Anselmi, Michelangelo",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=103,Italian,1491/1492,1554/1556
"Anselmo, Giovanni",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=31180,Italian,born 1934,Unknown
"Anshutz, Thomas",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=5721,American,1851,1912
"Anshutz, Thomas Pollock",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=5721,American,1851,1912
"Antes, Horst",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=26412,German,born 1936,Unknown
Antico,https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=2004,Italian,c. 1460,1528
"Antico, Pier Jacopo di Antonio Alari Bonacolsi, called",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=2004,Italian,c. 1460,1528
"Antique, the",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=9921,Unknown,Unknown,Unknown
"Antoine, André",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=17837,French,1858,1943
"Antoine, duc de Montpensier",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=5130,French,1775,1807
"Antonakos, Stephen",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=10141,American,born 1926,Unknown
"Antonelli, Giuseppe",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=34451,Italian,active first quarter 19th century,Unknown
"Antonelli, Peter",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=7213,American,active c. 1935,Unknown
Antonello da Messina,https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=119,Italian,c. 1430,1479
Antonello della Moneta,https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=2005,Italian,active 1454,1484
"Antonini, Annapia",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=6611,Swiss,born 1942,Unknown
"Antonini, Carlo",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=19756,Italian,active 1758/1784,Unknown
"Antonio da Brescia, Fra",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=2041,Italian,active c. 1485,1515
Antonio da Trento,https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=2909,Italian,c. 1508,1550 or after
Antonio d'Enrico,https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=1921,Italian,c. 1575,1633
"Antreasian, Garo Zareh",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=2910,American,born 1922,Unknown
"Antrim, William L.",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=7214,American,active c. 1935,Unknown
"Antunez, Nemesio",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=2911,Chilean,born 1918,Unknown
Antwerp 16th Century,https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=8347,Unknown,Unknown,Unknown
"Anuszkiewicz, Richard",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=6510,American,born 1930,Unknown
Ape (pseud.),https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=5178,Italian,1839,1889
"Apianus, Petrus",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=34757,German,1495,1552
"Apollinaire, Guillaume",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=6967,French,1880,1918
"Appel, Karel",https://web.archive.org/web/20121010212959/http://www.nga.gov/cgi-bin/tsearch?artistid=9889,Dutch,1921,2006
"Appelt, Dieter",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=24615,German,born 1935,Unknown
"Appian, Adolphe",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=2912,French,1818,1898
"Appian, Jacques Barthelemy",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=2912,French,1818,1898
"Appiani, Andrea",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=23938,Unknown,Unknown,Unknown
"Appiani I, Andrea",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=2913,Italian,1754,1817
"Appleby, Anne",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=26320,American,born 1954,Unknown
"Aquila, Francesco Faraone",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=19567,Italian,c. 1676,c. 1740
"Aquilano, Pompeo",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=31135,Italian,died 1571,Unknown
Arakawa,https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=6022,American,born 1936,Unknown
"Arakawa, Shusaku",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=6022,American,born 1936,Unknown
"Arber, Robert H.",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=2915,American,born 1942,Unknown
"Arbo, Arelia",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=7215,American,active c. 1935,Unknown
"Arbus, Diane",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=13490,American,1923,1971
"Archipenko, Alexander",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=2008,American,1887,1964
"Arcimboldo, Giuseppe",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=33025,Italian,1526,1593
"Ardenti, Agostino",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=20173,Italian,active second half 16th century,Unknown
"Aretusi, Cesare",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=5864,Italian,active 1586,1612
"Argenterio, Bartolomeo",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=23451,Italian,died 1591,Unknown
"Arima, Michiko",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=2916,Japanese (?),active 20th century,Unknown
"Ariosto, Lodovico",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=6968,Italian,1474,1533
"Ariss, Bruce",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=33134,American,1911,1994
"Arita, Takeshi",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=25678,Unknown,Unknown,Unknown
"Arland, Marcel",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=14538,French,1899,1986
Arman,https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=10497,American,1928,2005
"Armata, Ludmila",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=23989,Polish,born 1954,Unknown
"Armin, Emil",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=33135,American,1883,1971
"Armington, Caroline Helena",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=2917,French,1875,1939
"Arms, John Taylor",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=2348,American,1887,1953
"Arnal, François",https://web.archive.org/web/20121010213100/http://www.nga.gov/cgi-bin/tsearch?artistid=2918,French,born 1924,Unknown
"Arnaud, Aloysio",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=22225,French,active c. 1825/1846,Unknown
"Arndt, Gertrud",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=24618,German,1903,2000
"Arnéra, H.",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=23486,French,active 20th century,Unknown
"Arnest, Bernard Patrick",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=33136,American,1917,1986
"Arnold, A. Grant",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=33137,American,1904,1988
"Arnold, Brooks",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=23280,Unknown,Unknown,Unknown
"Arnold, James Irza",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=35095,American,1887,1965
"Arnold, Madeline",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=7216,American,active c. 1935,Unknown
"Arnoldi, Charles",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=6869,American,born 1946,Unknown
"Arnout, Jean-Baptiste",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=10437,French,1788,after 1865
"Arntz, Gerd",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=5698,German,1900,1988
"Arondeaux, Regnier",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=23760,Flemish,active 1678/1702,Unknown
"Aronson, Grambs",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=25832,American,1916,2010
"Aronson, Irene",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=2920,American,born 1918,Unknown
"Arp, Hans",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=2009,French,born Germany (Alsace),Unknown
"Arp, Jean",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=2009,French,born Germany (Alsace),Unknown
"Arpino, Cavaliere d'",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=2428,Italian,1568,1640
"Arquin, Florence",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=33138,American,1900,1974
"Artaria, Domenico",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=6642,German,active late 18th century,Unknown
"Arteaga, Francisco de",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=12112,Spanish,active 1671,Unknown
"Arteaga y Alfaro, Matias",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=12114,Spanish,c. 1630,1703
Artist Unknown,https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=6347,Unknown,Unknown,Unknown
"Artman, Jean",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=33139,American,1887,1953
"Artois, Jacques d'",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=35861,Flemish,1613,1686
"Artsay, N.",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=2922,Unknown,active probably 19th century,Unknown
"Artschwager, Richard",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=6942,American,born 1923,Unknown
"Artvelt, Andries van",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=25148,Flemish,1590,1652
"Artzybasheff, Boris",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=2923,American,1899,1965
"Asam, Cosmas Damian",https://web.archive.org/web/20121010213121/http://www.nga.gov/cgi-bin/tsearch?artistid=28316,German,1686,1739
"Asam, Egid Quirin",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=2349,German,1692,1750
"Asawa, Ruth",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=2924,American,born 1926,Unknown
"Ascensius, Jodocus Badius",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=34956,Unknown,Unknown,Unknown
"Aschheim, Eve",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=22098,American,born 1958,Unknown
Ascian,https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=4952,American,born 1943,Unknown
"Ashbery, John",https://web.archive.org/web/20121010213025/http://www.nga.gov/cgi-bin/tsearch?artistid=21125,American,born 1927,Unknown
